,time,522,1491,1513,500,1536,545,1514,523,1492
0,0,11.563790419437353,39.52671504962408,32.68263911621958,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11.205468752007661,39.1335828654795,33.06876464602731,0.0,0.0,0.0,0.0,0.0,0.0
2,2,10.880650817631121,38.7373337839082,33.45575886633719,0.0,0.0,0.0,0.0,0.0,0.0
3,3,10.592781971019761,38.33802281347397,33.84333834005479,0.0,0.0,0.0,0.0,0.0,0.0
4,4,10.345388296760646,37.93573027717809,34.23123551842101,0.0,0.0,0.0,0.0,0.0,0.0
5,5,10.141702370013604,37.53053054990832,34.61919806611601,0.0,0.0,0.0,0.0,0.0,0.0
6,6,9.984671657663043,37.12251858882547,35.00698819687083,0.0,0.0,0.0,0.0,0.0,0.0
7,7,9.876757456556192,36.71179076669389,35.39437455275976,0.0,0.0,0.0,0.0,0.0,0.0
8,8,9.819664869029523,36.29845181861081,35.78114693366055,0.0,0.0,0.0,0.0,0.0,0.0
9,9,9.814362942160102,35.88261536189185,36.16710776946258,0.0,0.0,0.0,0.0,0.0,0.0
10,10,9.860976266872939,35.46441189299565,36.55207857837172,0.0,0.0,0.0,0.0,0.0,0.0
11,11,9.958703146791038,35.04398255528829,36.93587796083686,0.0,0.0,0.0,0.0,0.0,0.0
12,12,10.105913673759218,34.621472043917095,37.318335955643875,0.0,0.0,0.0,0.0,0.0,0.0
13,13,10.300303623986267,34.197044340406926,37.69931347469671,0.0,0.0,0.0,0.0,0.0,0.0
14,14,10.539081292270069,33.77087616957262,38.07866719319247,0.0,0.0,0.0,0.0,0.0,0.0
15,15,10.818961676146188,33.343149527376355,38.456250328518756,0.0,0.0,0.0,0.0,0.0,0.0
16,16,11.136573485354972,32.9140685240246,38.83195746532489,0.0,0.0,0.0,0.0,0.0,0.0
17,17,11.488365274688263,32.48386114074631,39.20565930017883,0.0,0.0,0.0,0.0,0.0,0.0
18,18,11.87089040670702,32.05275466644758,39.57726584239114,0.0,0.0,0.0,0.0,0.0,0.0
19,19,12.280825375949505,31.621001839212944,39.94666357514063,0.0,0.0,0.0,0.0,0.0,0.0
20,20,12.715084993244972,31.188873628459916,40.313776368307366,0.0,0.0,0.0,0.0,0.0,0.0
21,21,13.170765421221603,30.756660337976776,40.67851069486689,0.0,0.0,0.0,0.0,0.0,0.0
22,22,13.645165924230398,30.324663154607677,41.040796912113834,0.0,0.0,0.0,0.0,0.0,0.0
23,23,14.135896834275101,29.89321394055441,41.40055967739191,0.0,0.0,0.0,0.0,0.0,0.0
24,24,14.64078584918137,29.46266748708591,41.75774586440829,0.0,0.0,0.0,0.0,0.0,0.0
25,25,15.157843081709686,29.033402818395373,42.112290739506584,0.0,0.0,0.0,0.0,0.0,0.0
26,26,15.685317427643568,28.605814053110315,42.46414014957552,0.0,0.0,0.0,0.0,0.0,0.0
27,27,16.221606942166062,28.180321336943372,42.813249777062566,0.0,0.0,0.0,0.0,0.0,0.0
28,28,16.76532936753786,27.75737218743366,43.159584439677346,0.0,0.0,0.0,0.0,0.0,0.0
29,29,17.315195040363264,27.337454032694716,43.503097528365856,0.0,0.0,0.0,0.0,0.0,0.0
30,30,17.87005779851914,26.92107390893225,43.84376145978343,0.0,0.0,0.0,0.0,0.0,0.0
31,31,18.428953679725666,26.508746882498464,44.18154695337334,0.0,0.0,0.0,0.0,0.0,0.0
32,32,18.990915085411288,26.10105443258358,44.51642800234772,0.0,0.0,0.0,0.0,0.0,0.0
33,33,19.555149591239882,25.69858841588224,44.848381698235464,0.0,0.0,0.0,0.0,0.0,0.0
34,34,20.120915388530534,25.30197441602897,45.17739718655092,0.0,0.0,0.0,0.0,0.0,0.0
35,35,20.687549115365854,24.911859826396494,45.50345679778794,0.0,0.0,0.0,0.0,0.0,0.0
36,36,21.25444099429754,24.528939049786402,45.82654991251828,0.0,0.0,0.0,0.0,0.0,0.0
