,time,573,1224,551,1202,1247,1225,574
0,0,630.9889375,553.585875,0.0,0.0,0.0,0.0,0.0
1,1,629.6296875,554.0151875,0.0,0.0,0.0,0.0,0.0
2,2,628.34525,554.5324375,0.0,0.0,0.0,0.0,0.0
3,3,627.136,555.1374375,0.0,0.0,0.0,0.0,0.0
4,4,626.0025,555.8299375,0.0,0.0,0.0,0.0,0.0
5,5,624.9450625,556.6095,0.0,0.0,0.0,0.0,0.0
6,6,623.964125,557.475875,0.0,0.0,0.0,0.0,0.0
7,7,623.0600625,558.4285625,0.0,0.0,0.0,0.0,0.0
8,8,622.2331875,559.4671875,0.0,0.0,0.0,0.0,0.0
9,9,621.48375,560.59125,0.0,0.0,0.0,0.0,0.0
10,10,620.812125,561.80025,0.0,0.0,0.0,0.0,0.0
11,11,620.2185625,563.093625,0.0,0.0,0.0,0.0,0.0
12,12,619.70325,564.47075,0.0,0.0,0.0,0.0,0.0
13,13,619.266375,565.931125,0.0,0.0,0.0,0.0,0.0
14,14,618.908125,567.4739375,0.0,0.0,0.0,0.0,0.0
15,15,618.628625,569.0986875,0.0,0.0,0.0,0.0,0.0
16,16,618.428,570.8045625,0.0,0.0,0.0,0.0,0.0
17,17,618.306375,572.590875,0.0,0.0,0.0,0.0,0.0
18,18,618.2636875,574.456875,0.0,0.0,0.0,0.0,0.0
19,19,618.3,576.40175,0.0,0.0,0.0,0.0,0.0
20,20,618.4153125,578.42475,0.0,0.0,0.0,0.0,0.0
21,21,618.609625,580.5250625,0.0,0.0,0.0,0.0,0.0
22,22,618.88275,582.70175,0.0,0.0,0.0,0.0,0.0
23,23,619.2346875,584.9540625,0.0,0.0,0.0,0.0,0.0
24,24,619.6653125,587.281125,0.0,0.0,0.0,0.0,0.0
25,25,620.174375,589.682,0.0,0.0,0.0,0.0,0.0
26,26,620.7616875,592.15575,0.0,0.0,0.0,0.0,0.0
27,27,621.4270625,594.7015625,0.0,0.0,0.0,0.0,0.0
28,28,622.1703125,597.3185,0.0,0.0,0.0,0.0,0.0
29,29,622.9910625,600.0055625,0.0,0.0,0.0,0.0,0.0
30,30,623.889,602.7618125,0.0,0.0,0.0,0.0,0.0
31,31,624.863875,605.586375,0.0,0.0,0.0,0.0,0.0
32,32,625.9153125,608.47825,0.0,0.0,0.0,0.0,0.0
33,33,627.0428125,611.4364375,806.8563125,0.0,0.0,0.0,0.0
34,34,628.246125,614.4600625,801.9505625,0.0,0.0,0.0,0.0
35,35,629.5246875,617.548125,797.075875,0.0,0.0,0.0,0.0
36,36,630.878125,620.699625,792.2329375,0.0,0.0,0.0,0.0
37,37,632.3059375,623.913625,787.42225,0.0,0.0,0.0,0.0
38,38,633.807625,627.189125,782.6445,0.0,0.0,0.0,0.0
39,39,635.3825625,630.52525,777.90025,0.0,0.0,0.0,0.0
40,40,637.030375,633.9209375,773.1900625,0.0,0.0,0.0,0.0
41,41,638.750375,637.3753125,768.5146875,0.0,0.0,0.0,0.0
42,42,640.542,640.8874375,763.8746875,0.0,0.0,0.0,0.0
43,43,642.4046875,644.45625,759.27075,0.0,0.0,0.0,0.0
44,44,644.3378125,648.080875,754.7035625,0.0,0.0,0.0,0.0
45,45,646.3406875,651.760375,750.17375,0.0,0.0,0.0,0.0
46,46,648.41275,655.493875,745.682,0.0,0.0,0.0,0.0
47,47,650.55325,659.2803125,741.2290625,0.0,0.0,0.0,0.0
48,48,652.7615625,663.1189375,736.8155625,0.0,0.0,0.0,0.0
49,49,655.037,667.00875,732.4423125,0.0,0.0,0.0,0.0
50,50,657.3788125,670.948875,728.11,0.0,0.0,0.0,0.0
51,51,659.786375,674.9384375,723.8193125,809.7893125,0.0,0.0,0.0
52,52,662.2589375,678.9765625,719.571125,807.2953125,0.0,0.0,0.0
53,53,664.79575,683.0623125,715.3660625,804.8539375,0.0,0.0,0.0
54,54,667.3960625,687.195,711.205,802.46575,0.0,0.0,0.0
55,55,670.0591875,691.3735625,707.088625,800.13125,0.0,0.0,0.0
56,56,672.7843125,695.597375,703.0178125,797.8508125,0.0,0.0,0.0
57,57,675.57075,699.8654375,698.9933125,795.625,0.0,0.0,0.0
58,58,678.4176875,704.1770625,695.0159375,793.45425,0.0,0.0,0.0
59,59,681.3244375,708.531375,691.0865625,791.3389375,0.0,0.0,0.0
60,60,684.290125,712.9276875,687.2059375,789.279625,0.0,0.0,0.0
61,61,687.314125,717.3650625,683.375,787.2766875,0.0,0.0,0.0
62,62,690.3955,721.842875,679.5944375,785.330625,0.0,0.0,0.0
63,63,693.533625,726.360375,675.86525,783.44175,0.0,0.0,0.0
64,64,696.7276875,730.9166875,672.1881875,781.6105625,0.0,0.0,0.0
65,65,699.976875,735.51125,668.5641875,779.8375,0.0,0.0,0.0
66,66,703.2805,740.1431875,664.9940625,778.122875,0.0,0.0,0.0
67,67,706.6376875,744.8119375,661.47875,776.4670625,0.0,0.0,0.0
68,68,710.04775,749.5166875,658.019125,774.8705625,0.0,0.0,0.0
69,69,713.5099375,754.256875,654.616,773.333625,0.0,0.0,0.0
70,70,717.0235,759.03175,651.270375,771.8566875,0.0,0.0,0.0
71,71,720.5875625,763.8406875,647.9830625,770.44,0.0,0.0,0.0
72,72,724.2015,768.683,644.7549375,769.084,0.0,0.0,0.0
73,73,727.8645625,773.558125,641.587,767.789,0.0,0.0,0.0
74,74,731.5759375,778.465375,638.4800625,766.55525,0.0,0.0,0.0
75,75,735.3349375,783.4041875,635.4350625,765.3830625,0.0,0.0,0.0
76,76,739.1408125,788.3739375,632.452875,764.2726875,0.0,0.0,0.0
77,77,742.992875,793.3740625,629.5344375,763.2245,0.0,0.0,0.0
78,78,746.890375,798.4039375,626.680625,762.2386875,0.0,0.0,0.0
79,79,750.8325625,803.4630625,623.8923125,761.3155,0.0,0.0,0.0
80,80,754.8188125,808.5508125,621.170375,760.4551875,0.0,0.0,0.0
81,81,758.848375,0.0,618.5156875,759.6579375,0.0,0.0,0.0
82,82,762.920625,0.0,615.9291875,758.9239375,0.0,0.0,0.0
83,83,767.03475,0.0,613.411625,758.253375,0.0,0.0,0.0
84,84,771.1901875,0.0,610.964,757.6465,0.0,0.0,0.0
85,85,775.38625,0.0,608.5870625,757.1033125,0.0,0.0,0.0
86,86,779.62225,0.0,606.281625,756.624125,0.0,0.0,0.0
87,87,783.8975625,0.0,604.048625,756.208875,0.0,0.0,0.0
88,88,788.2115,0.0,601.88875,755.8578125,0.0,0.0,0.0
89,89,792.5635,0.0,599.802875,755.571,0.0,0.0,0.0
90,90,796.952875,0.0,597.7916875,755.3484375,0.0,0.0,0.0
91,91,801.379,0.0,595.8560625,755.19025,0.0,0.0,0.0
92,92,805.8413125,0.0,593.996625,755.0965,0.0,0.0,0.0
93,93,0.0,0.0,592.2141875,755.067125,0.0,0.0,0.0
94,94,0.0,0.0,590.509375,755.1021875,0.0,0.0,0.0
95,95,0.0,0.0,588.8829375,755.201625,0.0,0.0,0.0
96,96,0.0,0.0,587.3355,755.3655,0.0,0.0,0.0
97,97,0.0,0.0,585.8676875,755.59375,0.0,0.0,0.0
98,98,0.0,0.0,584.4800625,755.88625,805.58625,0.0,0.0
99,99,0.0,0.0,583.1731875,756.2429375,801.1405,0.0,0.0
100,100,0.0,0.0,581.94775,756.66375,796.7313125,0.0,0.0
101,101,0.0,0.0,580.8040625,757.148625,792.35925,0.0,0.0
102,102,0.0,0.0,579.7428125,757.6973125,788.0250625,0.0,0.0
103,103,0.0,0.0,578.7643125,758.3098125,783.7293125,0.0,0.0
104,104,0.0,0.0,577.869,758.985875,779.4725625,0.0,0.0
105,105,0.0,0.0,577.0573125,759.725375,775.255625,0.0,0.0
106,106,0.0,0.0,576.329625,760.5280625,771.079,0.0,0.0
107,107,0.0,0.0,575.6861875,761.3938125,766.9435,0.0,0.0
108,108,0.0,0.0,575.1273125,762.322375,762.8496875,0.0,0.0
109,109,0.0,0.0,574.65325,763.3135625,758.79825,0.0,0.0
110,110,0.0,0.0,574.2641875,764.367,754.7899375,0.0,0.0
111,111,0.0,0.0,573.9603125,765.482625,750.825375,0.0,0.0
112,112,0.0,0.0,573.7418125,766.66,746.9053125,0.0,0.0
113,113,0.0,0.0,573.6086875,767.898875,743.0304375,0.0,0.0
114,114,0.0,0.0,573.561125,769.199,739.2014375,0.0,0.0
115,115,0.0,0.0,573.599,770.56,735.419125,0.0,0.0
116,116,0.0,0.0,573.722375,771.981625,731.684125,0.0,0.0
117,117,0.0,0.0,573.9311875,773.4635,727.99725,0.0,0.0
118,118,0.0,0.0,574.225375,775.00525,724.35925,0.0,0.0
119,119,0.0,0.0,574.6046875,776.6065625,720.77075,0.0,0.0
120,120,0.0,0.0,575.069125,778.267,717.2325625,0.0,0.0
121,121,0.0,0.0,575.618375,779.9863125,713.7455,0.0,0.0
122,122,0.0,0.0,576.2521875,781.7639375,710.31025,0.0,0.0
123,123,0.0,0.0,576.970375,783.599625,706.927625,0.0,0.0
124,124,0.0,0.0,577.7725,785.492875,703.5983125,0.0,0.0
125,125,0.0,0.0,578.65825,787.4433125,700.323125,0.0,0.0
126,126,0.0,0.0,579.6273125,789.4505,697.1028125,0.0,0.0
127,127,0.0,0.0,580.6791875,791.5139375,693.938125,0.0,0.0
128,128,0.0,0.0,581.8135,793.6333125,690.8299375,0.0,0.0
129,129,0.0,0.0,583.0296875,795.8080625,687.778875,0.0,0.0
130,130,0.0,0.0,584.3273125,798.0378125,684.7858125,0.0,0.0
131,131,0.0,0.0,585.70575,800.3220625,681.8514375,0.0,0.0
132,132,0.0,0.0,587.1645,802.6603125,678.976625,0.0,0.0
133,133,0.0,0.0,588.702875,805.052125,676.162,0.0,0.0
134,134,0.0,0.0,590.320375,807.497,673.408375,0.0,0.0
135,135,0.0,0.0,592.01625,809.9945,670.7165625,0.0,0.0
