,time,631,1260,1305,1283,654,632,1306
0,0,89.82108028022107,71.5728153955058,0.0,0.0,0.0,0.0,0.0
1,1,91.24014386907733,71.82106172490523,0.0,0.0,0.0,0.0,0.0
2,2,90.61540269983786,71.85515515010422,0.0,0.0,0.0,0.0,0.0
3,3,91.45680987900455,71.28116784753712,0.0,0.0,0.0,0.0,0.0
4,4,90.67615792952381,71.92392819773794,0.0,0.0,0.0,0.0,0.0
5,5,92.9482678466417,73.23275237760933,0.0,0.0,0.0,0.0,0.0
6,6,94.4983509997668,71.95326813917787,65.26106610739852,0.0,0.0,0.0,0.0
7,7,93.5690073864416,73.1864675947352,67.21261699994861,0.0,0.0,0.0,0.0
8,8,93.40243295656565,73.42027300844494,67.5966679386507,0.0,0.0,0.0,0.0
9,9,94.53094531828431,70.61124484780446,66.38942448495156,0.0,0.0,0.0,0.0
10,10,93.26766491226057,69.63927553123432,68.14369255520225,0.0,0.0,0.0,0.0
11,11,92.13640932725993,70.77506112394946,67.83236662136089,0.0,0.0,0.0,0.0
12,12,93.22515615761957,72.51218981559799,69.69155217409106,0.0,0.0,0.0,0.0
13,13,94.96255974942422,70.48754563575,68.76645581191642,0.0,0.0,0.0,0.0
14,14,93.80481692536605,70.03932012409317,70.10112053825515,0.0,0.0,0.0,0.0
15,15,93.37292666655473,71.50854425549545,69.65940736760218,0.0,0.0,0.0,0.0
16,16,96.49278542701668,70.37202049291729,70.06354306529597,0.0,0.0,0.0,0.0
17,17,95.95731950603549,71.54527072335411,71.11821350464503,0.0,0.0,0.0,0.0
18,18,92.31753835683766,72.49051165127142,70.13186853969606,0.0,0.0,0.0,0.0
19,19,93.25559661866725,70.03532973584021,71.42337196673667,0.0,0.0,0.0,0.0
20,20,94.96780509777291,70.66611720040247,71.52199189639079,0.0,0.0,0.0,0.0
21,21,94.53359524462608,69.707954538542,72.35197470579912,0.0,0.0,0.0,0.0
22,22,92.87976296003094,70.33071172938433,71.11995546488552,0.0,0.0,0.0,0.0
23,23,94.46445607718748,70.99212277056239,73.31481363141823,0.0,0.0,0.0,0.0
24,24,95.54722362904194,70.34204910814549,73.76656536665041,0.0,0.0,0.0,0.0
25,25,95.44438715080355,69.7311527269594,71.7513675587198,0.0,0.0,0.0,0.0
26,26,94.48923102972186,68.4348119514495,73.36162531541385,0.0,0.0,0.0,0.0
27,27,95.48689374265344,70.76756001725495,74.28593884800536,0.0,0.0,0.0,0.0
28,28,95.54267490894053,69.18085117275008,75.86020621641036,0.0,0.0,0.0,0.0
29,29,94.61962342640169,71.44834447103229,75.05104540453584,0.0,0.0,0.0,0.0
30,30,92.06329518316457,67.84394935204135,74.44721536918733,0.0,0.0,0.0,0.0
31,31,95.82178683157424,68.70586330116248,74.07643375391764,0.0,0.0,0.0,0.0
32,32,93.61146167923707,69.56034750663544,75.0186916332992,0.0,0.0,0.0,0.0
33,33,91.35840382721969,68.28119356104075,75.88503284580263,0.0,0.0,0.0,0.0
34,34,93.0194337634267,65.63706722097879,75.67876138068497,0.0,0.0,0.0,0.0
35,35,93.43303097486114,67.33691310750474,77.10117906921472,0.0,0.0,0.0,0.0
36,36,93.89538810718356,67.42103449434607,77.87370034254646,0.0,0.0,0.0,0.0
37,37,93.63816366738621,66.20649301485399,79.33801010850739,0.0,0.0,0.0,0.0
38,38,92.07334568508448,67.30504769230737,78.58234178299767,0.0,0.0,0.0,0.0
39,39,92.13922477057059,66.9314472433915,78.94002438019629,0.0,0.0,0.0,0.0
40,40,91.2674088595254,65.19201504440626,77.6876277099984,0.0,0.0,0.0,0.0
41,41,90.92843787072772,67.78300305152841,79.97132269726806,0.0,0.0,0.0,0.0
42,42,92.25868295577888,67.43518076962631,81.12370658885791,0.0,0.0,0.0,0.0
43,43,92.78415792184636,65.78202027735314,78.73992678581948,0.0,0.0,0.0,0.0
44,44,92.25021037922312,66.57651872263335,82.28293076937757,0.0,0.0,0.0,0.0
45,45,90.08112529347167,65.58018782421182,79.56732982113157,0.0,0.0,0.0,0.0
46,46,89.76435248863112,0.0,80.48869581449652,0.0,0.0,0.0,0.0
47,47,90.05313815564153,0.0,83.45759374896522,0.0,0.0,0.0,0.0
48,48,88.79471213883625,0.0,81.08077345434026,0.0,0.0,0.0,0.0
49,49,88.960161773866,0.0,80.23816725336685,0.0,0.0,0.0,0.0
50,50,89.21059410310505,0.0,82.87127830765547,0.0,0.0,0.0,0.0
51,51,89.60799934019907,0.0,81.4355100166292,0.0,0.0,0.0,0.0
52,52,87.80384803856934,0.0,80.24811004305857,0.0,0.0,0.0,0.0
53,53,88.87660593213515,0.0,83.26626032831804,0.0,0.0,0.0,0.0
54,54,86.23441194857317,0.0,81.22221638670838,0.0,0.0,0.0,0.0
55,55,86.88184767300939,0.0,82.76528624145394,0.0,0.0,0.0,0.0
56,56,86.13675615107589,0.0,83.11502592970814,0.0,0.0,0.0,0.0
57,57,86.29139746878275,0.0,83.00391750279677,0.0,0.0,0.0,0.0
58,58,85.88796694241684,0.0,83.58349483092142,0.0,0.0,0.0,0.0
59,59,86.23223579893005,0.0,83.52266629666536,0.0,0.0,0.0,0.0
60,60,85.17721995721205,0.0,84.54648168471772,0.0,0.0,0.0,0.0
61,61,84.88336211839156,0.0,84.02380874501272,0.0,0.0,0.0,0.0
62,62,85.66960451156521,0.0,83.50057074580407,0.0,0.0,0.0,0.0
63,63,83.23461184629487,0.0,84.99230298871386,0.0,0.0,0.0,0.0
64,64,84.34669746324344,0.0,83.43669383619608,0.0,0.0,0.0,0.0
65,65,82.88130734578198,0.0,85.58663451832727,0.0,0.0,0.0,0.0
66,66,82.94902623810225,0.0,86.28157403707222,0.0,0.0,0.0,0.0
67,67,83.36496785105138,0.0,84.9080923307391,0.0,0.0,0.0,0.0
68,68,82.17197977149463,0.0,85.08465109343877,0.0,0.0,0.0,0.0
69,69,83.54313144678265,0.0,84.97186263897338,0.0,0.0,0.0,0.0
70,70,82.44175914106977,0.0,86.4154143006686,0.0,0.0,0.0,0.0
71,71,80.60751884808361,0.0,85.01808217013073,0.0,0.0,0.0,0.0
72,72,80.25725005573365,0.0,86.2962660119791,0.0,0.0,0.0,0.0
73,73,78.92822212521152,0.0,83.84372232212812,0.0,0.0,0.0,0.0
74,74,80.60217287023336,0.0,85.88641624528736,0.0,0.0,0.0,0.0
75,75,78.38108720902144,0.0,85.89400907230846,0.0,0.0,0.0,0.0
76,76,77.03365918142057,0.0,86.92187854182801,0.0,0.0,0.0,0.0
77,77,77.66968688723615,0.0,84.86263279726234,0.0,0.0,0.0,0.0
78,78,79.09940892902215,0.0,85.19563632302682,0.0,0.0,0.0,0.0
79,79,76.34387203907053,0.0,85.218296353,0.0,0.0,0.0,0.0
80,80,76.85817247292259,0.0,86.09918018874913,0.0,0.0,0.0,0.0
81,81,75.19178272681205,0.0,84.88218582441793,0.0,0.0,0.0,0.0
82,82,73.7680635142578,0.0,86.03498099221785,0.0,0.0,0.0,0.0
83,83,74.48594179508478,0.0,84.3411427556608,0.0,0.0,0.0,0.0
84,84,72.99629636795386,0.0,84.0471996343789,0.0,0.0,0.0,0.0
85,85,72.9478563924181,0.0,84.85491664872715,0.0,0.0,0.0,0.0
86,86,72.39436320628413,0.0,84.82273456106735,0.0,0.0,0.0,0.0
87,87,73.85290270066618,0.0,85.34247082030183,0.0,0.0,0.0,0.0
88,88,72.4178813728376,0.0,85.11408723829292,0.0,0.0,0.0,0.0
89,89,72.75914401433293,0.0,84.23565510427082,0.0,0.0,0.0,0.0
90,90,70.70150214009959,0.0,84.6632510100836,0.0,0.0,0.0,0.0
91,91,70.42822429023887,0.0,84.57450648812396,0.0,0.0,0.0,0.0
92,92,71.59040422203924,0.0,85.89501242397614,65.28311382523198,0.0,0.0,0.0
93,93,71.18380166535336,0.0,84.31156784072672,66.10684161257774,0.0,0.0,0.0
94,94,72.82698616659043,0.0,85.23881423410694,68.38078552618322,0.0,0.0,0.0
95,95,68.50609280227266,0.0,85.13877102693243,68.85403720251732,0.0,0.0,0.0
96,96,69.50908384824629,0.0,85.59533620407585,67.70189094478984,0.0,0.0,0.0
