,time,744,766,1531,1509,1554,789,767,1532,745
0,0,78.505227152797,72.87443030763248,73.27116049014343,0.0,0.0,0.0,0.0,0.0,0.0
1,1,78.9684762493674,71.65293969394051,74.88856539405661,0.0,0.0,0.0,0.0,0.0,0.0
2,2,77.85543917444308,74.01016073978796,73.46510813448029,0.0,0.0,0.0,0.0,0.0,0.0
3,3,81.67562174375934,71.36443664449486,74.9219415024096,0.0,0.0,0.0,0.0,0.0,0.0
4,4,80.96767208147446,71.11564615914365,73.24663339425787,0.0,0.0,0.0,0.0,0.0,0.0
5,5,81.51126669647856,70.51041798672115,73.84943245151885,0.0,0.0,0.0,0.0,0.0,0.0
6,6,81.19687276144973,72.8975866374704,71.13974656104742,0.0,0.0,0.0,0.0,0.0,0.0
7,7,80.7890154287251,71.57128391110557,72.76606524506218,0.0,0.0,0.0,0.0,0.0,0.0
8,8,79.5923320394045,69.04566211731716,71.71085813176282,0.0,0.0,0.0,0.0,0.0,0.0
9,9,80.79945048990353,70.15251680221759,69.44089626401414,0.0,0.0,0.0,0.0,0.0,0.0
10,10,81.88517409084307,68.86759710371257,69.93203486563064,0.0,0.0,0.0,0.0,0.0,0.0
11,11,81.60233515051567,68.76625094186464,69.35592335807638,0.0,0.0,0.0,0.0,0.0,0.0
12,12,81.56135463369196,67.99359405293652,69.90037494138296,0.0,0.0,0.0,0.0,0.0,0.0
13,13,81.6189816214569,68.05011224365192,69.40851627127476,0.0,0.0,0.0,0.0,0.0,0.0
14,14,82.2422823490007,67.08427637388623,69.05581697586221,0.0,0.0,0.0,0.0,0.0,0.0
15,15,82.6639316189039,67.39189381840394,69.13946431275544,0.0,0.0,0.0,0.0,0.0,0.0
16,16,83.08741558593901,67.39992038671994,69.10304494882631,0.0,0.0,0.0,0.0,0.0,0.0
17,17,83.44489375541313,65.85169580255446,66.79339503460113,0.0,0.0,0.0,0.0,0.0,0.0
18,18,84.3400686646764,63.84949939835593,66.97112716578759,0.0,0.0,0.0,0.0,0.0,0.0
19,19,83.32567456005307,0.0,66.18201252744657,0.0,0.0,0.0,0.0,0.0,0.0
20,20,83.36496409917429,0.0,65.69370668165884,0.0,0.0,0.0,0.0,0.0,0.0
21,21,84.06257934400544,0.0,67.51829201475663,0.0,0.0,0.0,0.0,0.0,0.0
22,22,83.73549553198997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,83.5694206118005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,83.59632216811556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,85.38001891593035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,84.38106337981264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,85.02087780278084,0.0,0.0,66.03239947198965,0.0,0.0,0.0,0.0,0.0
28,28,85.21168576215969,0.0,0.0,64.92019614997173,0.0,0.0,0.0,0.0,0.0
29,29,83.85540906166982,0.0,0.0,65.14613185517804,0.0,0.0,0.0,0.0,0.0
30,30,83.77866456640736,0.0,0.0,64.32354483291475,0.0,0.0,0.0,0.0,0.0
31,31,82.85653047558179,0.0,0.0,64.22274362491584,0.0,0.0,0.0,0.0,0.0
32,32,85.0497899963366,0.0,0.0,65.73846386174358,0.0,0.0,0.0,0.0,0.0
33,33,82.99923587526847,0.0,0.0,65.0275347518629,0.0,0.0,0.0,0.0,0.0
34,34,85.69526369811081,0.0,0.0,65.3414450631525,0.0,0.0,0.0,0.0,0.0
35,35,84.15674883298702,0.0,0.0,65.65482833020282,0.0,0.0,0.0,0.0,0.0
36,36,83.21542229564776,0.0,0.0,66.9806790705762,0.0,0.0,0.0,0.0,0.0
37,37,84.1865496825114,0.0,0.0,63.98497428822781,0.0,0.0,0.0,0.0,0.0
38,38,85.76325149627928,0.0,0.0,66.11329103260351,0.0,0.0,0.0,0.0,0.0
39,39,85.35164589732135,0.0,0.0,0.0,65.32733573155957,0.0,0.0,0.0,0.0
40,40,82.27428691548049,0.0,0.0,0.0,66.09244659576946,0.0,0.0,0.0,0.0
41,41,84.94749622287317,0.0,0.0,0.0,66.39770092807625,0.0,0.0,0.0,0.0
42,42,83.97541537210347,0.0,0.0,0.0,66.48800455631765,0.0,0.0,0.0,0.0
43,43,83.37739613605085,0.0,0.0,0.0,67.70706704439604,0.0,0.0,0.0,0.0
44,44,83.96746476305492,0.0,0.0,0.0,67.3607523484535,0.0,0.0,0.0,0.0
45,45,84.87093750760462,0.0,0.0,0.0,69.38966005015247,0.0,0.0,0.0,0.0
46,46,82.16323142419421,0.0,0.0,0.0,67.10500262062286,0.0,0.0,0.0,0.0
47,47,81.594909482189,0.0,0.0,0.0,66.94133699924608,0.0,0.0,0.0,0.0
48,48,82.66116492874004,0.0,0.0,0.0,70.52512408704666,0.0,0.0,0.0,0.0
49,49,83.28697800942584,0.0,0.0,0.0,70.63461614499936,0.0,0.0,0.0,0.0
50,50,83.15668358327585,0.0,0.0,0.0,69.52153948063848,0.0,0.0,0.0,0.0
51,51,81.43856807655345,0.0,0.0,0.0,71.87382927310395,0.0,0.0,0.0,0.0
52,52,82.00138696551811,0.0,0.0,0.0,70.56939292557976,0.0,0.0,0.0,0.0
53,53,82.94384631153085,0.0,0.0,0.0,70.92123170883795,0.0,0.0,0.0,0.0
54,54,81.23944236008046,0.0,0.0,0.0,74.42437214573083,0.0,0.0,0.0,0.0
55,55,81.09359499630513,0.0,0.0,0.0,69.48972219573771,0.0,0.0,0.0,0.0
56,56,82.62774382754667,0.0,0.0,0.0,71.80089781314813,0.0,0.0,0.0,0.0
57,57,81.51305802623136,0.0,0.0,0.0,73.36864073585588,0.0,0.0,0.0,0.0
58,58,81.20435236851905,0.0,0.0,0.0,74.11250700647892,0.0,0.0,0.0,0.0
59,59,80.1435005167052,0.0,0.0,0.0,73.13645003431643,0.0,0.0,0.0,0.0
60,60,82.61545549976732,0.0,0.0,0.0,73.80711656089048,0.0,0.0,0.0,0.0
61,61,82.29170408678092,0.0,0.0,0.0,74.3962345474291,0.0,0.0,0.0,0.0
62,62,79.47018730902039,0.0,0.0,0.0,74.1747379272961,0.0,0.0,0.0,0.0
63,63,79.67594389507815,0.0,0.0,0.0,75.55734856899079,0.0,0.0,0.0,0.0
64,64,78.28348619744447,0.0,0.0,0.0,76.10110120060443,0.0,0.0,0.0,0.0
65,65,79.12505946079676,0.0,0.0,0.0,76.42059006456992,0.0,0.0,0.0,0.0
66,66,80.94732843192638,0.0,0.0,0.0,76.4315728668256,0.0,0.0,0.0,0.0
67,67,79.17883160134332,0.0,0.0,0.0,77.19164275896543,0.0,0.0,0.0,0.0
68,68,79.97224610803701,0.0,0.0,0.0,76.3452106968294,0.0,0.0,0.0,0.0
69,69,77.13615760514044,0.0,0.0,0.0,77.43654401085355,0.0,0.0,0.0,0.0
70,70,78.44245053135312,0.0,0.0,0.0,78.46282683692667,0.0,0.0,0.0,0.0
71,71,78.43348017611049,0.0,0.0,0.0,78.23214622465156,0.0,0.0,0.0,0.0
72,72,76.60164768321722,0.0,0.0,0.0,79.00497858539654,0.0,0.0,0.0,0.0
73,73,76.13298605758999,0.0,0.0,0.0,77.26605368966291,0.0,0.0,0.0,0.0
74,74,75.31913520207351,0.0,0.0,0.0,78.96351826258322,0.0,0.0,0.0,0.0
75,75,76.5779734523808,0.0,0.0,0.0,77.82681853499672,0.0,0.0,0.0,0.0
76,76,76.20594382653726,0.0,0.0,0.0,79.22947713281037,0.0,0.0,0.0,0.0
77,77,74.54779101242431,0.0,0.0,0.0,79.74893499593313,0.0,0.0,0.0,0.0
78,78,75.04718898596644,0.0,0.0,0.0,79.9153295400116,0.0,0.0,0.0,0.0
79,79,73.33210051036271,0.0,0.0,0.0,79.10389493022359,0.0,0.0,0.0,0.0
80,80,74.85204111827728,0.0,0.0,0.0,80.34458886368054,0.0,0.0,0.0,0.0
81,81,73.72577067642885,0.0,0.0,0.0,82.28075027408677,0.0,0.0,0.0,0.0
82,82,73.72298022578296,0.0,0.0,0.0,79.99352493305275,0.0,0.0,0.0,0.0
83,83,72.83846184345471,0.0,0.0,0.0,80.81556211392436,0.0,0.0,0.0,0.0
84,84,73.05989248224257,0.0,0.0,0.0,82.21754815115526,0.0,0.0,0.0,0.0
85,85,73.49504407495786,0.0,0.0,0.0,82.38704934472132,0.0,0.0,0.0,0.0
86,86,72.72292894202396,0.0,0.0,0.0,81.72481317508358,0.0,0.0,0.0,0.0
87,87,71.95116610123212,0.0,0.0,0.0,83.30729798669451,0.0,0.0,0.0,0.0
88,88,71.35079381949757,0.0,0.0,0.0,82.12876944058158,65.08445785286227,0.0,0.0,0.0
89,89,71.3393908331379,0.0,0.0,0.0,82.69793377269892,66.1948352190177,0.0,0.0,0.0
90,90,71.32904996215058,0.0,0.0,0.0,84.13700786676677,64.90852467535517,0.0,0.0,0.0
91,91,69.84883222430068,0.0,0.0,0.0,83.13792678503367,64.99020899199722,0.0,0.0,0.0
92,92,69.53926521509953,0.0,0.0,0.0,82.47803524362239,65.47956630258145,0.0,0.0,0.0
93,93,67.56987708353388,0.0,0.0,0.0,85.24256682643393,68.00643384759901,0.0,0.0,0.0
94,94,70.19568632396495,0.0,0.0,0.0,82.81312045402923,65.42636088631181,0.0,0.0,0.0
