,time,449,1077,1055,427,1078,472,1056,450,1034
0,0,88.3802674756804,91.18375566523918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,89.39716564583115,89.91664814720839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,88.93804599574159,89.86457952696439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,90.0007804756869,90.76176910411166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,90.75621424150962,90.40804410154162,66.28886817145565,0.0,0.0,0.0,0.0,0.0,0.0
5,5,91.3902682782678,89.82409391333151,65.8844397195316,0.0,0.0,0.0,0.0,0.0,0.0
6,6,89.16011274768705,90.06888165887426,66.72327437873082,0.0,0.0,0.0,0.0,0.0,0.0
7,7,91.42119807247204,89.12340583213597,65.60278348486472,0.0,0.0,0.0,0.0,0.0,0.0
8,8,91.21176637772358,90.42384280706861,68.82913784535317,0.0,0.0,0.0,0.0,0.0,0.0
9,9,91.72836828335538,90.2421778531391,67.07873234706695,0.0,0.0,0.0,0.0,0.0,0.0
10,10,91.43884635161673,87.17175483363461,68.66725374584381,0.0,0.0,0.0,0.0,0.0,0.0
11,11,91.84783034242753,88.18293280920604,67.6104704630407,0.0,0.0,0.0,0.0,0.0,0.0
12,12,92.9181588172207,89.19097783987391,68.51626330868797,0.0,0.0,0.0,0.0,0.0,0.0
13,13,92.4528997874557,87.9311237441479,69.5981884960637,0.0,0.0,0.0,0.0,0.0,0.0
14,14,95.19984823214716,87.95204846778674,69.5498305646215,0.0,0.0,0.0,0.0,0.0,0.0
15,15,94.45711163628397,86.31728743329795,69.93461781751073,0.0,0.0,0.0,0.0,0.0,0.0
16,16,94.53675973911436,86.00207139452431,71.71186010115713,0.0,0.0,0.0,0.0,0.0,0.0
17,17,92.73711960528541,86.27873175113234,70.3192184978077,0.0,0.0,0.0,0.0,0.0,0.0
18,18,95.20993133282133,87.18872191852638,73.20399633932006,0.0,0.0,0.0,0.0,0.0,0.0
19,19,94.23220388105455,84.23722463857209,72.32684587444301,0.0,0.0,0.0,0.0,0.0,0.0
20,20,95.16037317183519,85.82456345833657,71.25385804511123,0.0,0.0,0.0,0.0,0.0,0.0
21,21,94.78600315327209,86.91863352734008,73.88371446334705,0.0,0.0,0.0,0.0,0.0,0.0
22,22,96.29840652536593,83.30832045254849,74.98489994988202,0.0,0.0,0.0,0.0,0.0,0.0
23,23,95.40205288019969,85.9207626290684,75.03170590665593,0.0,0.0,0.0,0.0,0.0,0.0
24,24,95.98424274844676,83.48716417447686,75.17972962426785,0.0,0.0,0.0,0.0,0.0,0.0
25,25,95.72636055298688,83.28500544467471,75.4976726474638,0.0,0.0,0.0,0.0,0.0,0.0
26,26,95.78926993281812,84.00237223004251,73.2620479512999,0.0,0.0,0.0,0.0,0.0,0.0
27,27,96.4387153330046,82.72711731159507,75.06231488136733,0.0,0.0,0.0,0.0,0.0,0.0
28,28,96.71353739576973,81.93310382059296,74.09481117101762,0.0,0.0,0.0,0.0,0.0,0.0
29,29,96.4621481288596,82.62420496507855,75.68893840166577,0.0,0.0,0.0,0.0,0.0,0.0
30,30,96.8906730834736,81.08654688084643,77.59289152185313,0.0,0.0,0.0,0.0,0.0,0.0
31,31,97.93765834194284,82.39343326218733,74.56373564407996,0.0,0.0,0.0,0.0,0.0,0.0
32,32,97.532096904437,81.92605300797692,77.09800257108174,0.0,0.0,0.0,0.0,0.0,0.0
33,33,95.21306727526965,79.40828533874263,77.63423690103637,0.0,0.0,0.0,0.0,0.0,0.0
34,34,94.6026995972851,79.82119229709355,77.8109340230181,0.0,0.0,0.0,0.0,0.0,0.0
35,35,96.898864422057,79.3552516730399,77.22070777014734,0.0,0.0,0.0,0.0,0.0,0.0
36,36,96.56380948813491,79.17752349864419,78.64649081100613,0.0,0.0,0.0,0.0,0.0,0.0
37,37,96.53646469709155,78.5208953898505,77.56718691686538,0.0,0.0,0.0,0.0,0.0,0.0
38,38,98.44661774068966,78.75806921476796,78.61067669512589,0.0,0.0,0.0,0.0,0.0,0.0
39,39,96.01816224130894,76.59624432780234,79.35103746515418,0.0,0.0,0.0,0.0,0.0,0.0
40,40,96.56259181030653,76.6644536960077,80.63568207749617,0.0,0.0,0.0,0.0,0.0,0.0
41,41,96.97635682521233,76.16771259548719,81.19017459924606,0.0,0.0,0.0,0.0,0.0,0.0
42,42,96.83254145978975,77.50083681974128,78.67763318412558,0.0,0.0,0.0,0.0,0.0,0.0
43,43,94.95564062786266,75.70557000996834,80.69381350815735,0.0,0.0,0.0,0.0,0.0,0.0
44,44,96.43889662661314,75.86411563735142,84.03985780690299,0.0,0.0,0.0,0.0,0.0,0.0
45,45,95.39970275937971,73.83001503285394,80.20152647223817,0.0,0.0,0.0,0.0,0.0,0.0
46,46,95.92914012416142,73.60726759334787,83.02781004722588,0.0,0.0,0.0,0.0,0.0,0.0
47,47,95.6092786187852,73.17797360149771,83.27645404155103,0.0,0.0,0.0,0.0,0.0,0.0
48,48,94.97349091375354,72.81092433719739,82.91510189287337,0.0,0.0,0.0,0.0,0.0,0.0
49,49,94.90358484065437,73.34817342147923,81.76840237523538,0.0,0.0,0.0,0.0,0.0,0.0
50,50,97.82257907801274,73.33742725929557,83.79591085058188,0.0,0.0,0.0,0.0,0.0,0.0
51,51,95.64370533668888,71.09042744554124,83.09507924646338,0.0,0.0,0.0,0.0,0.0,0.0
52,52,94.54284805569569,70.16803259582429,84.07118290529297,0.0,0.0,0.0,0.0,0.0,0.0
53,53,95.15999715283773,71.96267819482438,84.10767799631168,0.0,0.0,0.0,0.0,0.0,0.0
54,54,93.68403272912172,70.27322395603281,84.73494585084426,0.0,0.0,0.0,0.0,0.0,0.0
55,55,94.49942465439601,70.0071894280374,84.25447201922431,0.0,0.0,0.0,0.0,0.0,0.0
56,56,93.57086889984117,69.67085929156157,84.83959503354558,0.0,0.0,0.0,0.0,0.0,0.0
57,57,93.00630954290415,71.20297255367034,87.28885540058535,0.0,0.0,0.0,0.0,0.0,0.0
58,58,93.04089223124792,69.64268675291264,86.2205727488221,0.0,0.0,0.0,0.0,0.0,0.0
59,59,91.81990134632102,67.64073302534094,86.3740217954254,0.0,0.0,0.0,0.0,0.0,0.0
60,60,91.97169274042486,67.20490710879918,86.2135833859933,0.0,0.0,0.0,0.0,0.0,0.0
61,61,91.93882475482428,68.99152691634167,86.16726722422437,0.0,0.0,0.0,0.0,0.0,0.0
62,62,91.53869860900446,66.66516561432663,86.99056514651794,0.0,0.0,0.0,0.0,0.0,0.0
63,63,91.13265571880085,67.35002963389248,86.15347733912284,66.46789733933956,0.0,0.0,0.0,0.0,0.0
64,64,91.54267461461458,67.83242903034483,85.08563182460523,68.82967514859182,0.0,0.0,0.0,0.0,0.0
65,65,90.25495555889543,67.23458728722606,88.18221761099318,67.08229177397561,0.0,0.0,0.0,0.0,0.0
66,66,90.05970016669582,65.07663154035832,87.8054481270225,66.91137871846493,0.0,0.0,0.0,0.0,0.0
67,67,89.9272313168809,0.0,86.9472660054986,69.31335807631106,0.0,0.0,0.0,0.0,0.0
68,68,88.7424674084222,0.0,88.14471895593454,66.66667473435871,0.0,0.0,0.0,0.0,0.0
69,69,88.38940035997314,0.0,88.53840872648533,68.60755567327358,0.0,0.0,0.0,0.0,0.0
70,70,90.28267368490746,0.0,86.8982077637891,67.59538517052844,0.0,0.0,0.0,0.0,0.0
71,71,86.16616741450837,0.0,85.893987525175,68.19435432728389,0.0,0.0,0.0,0.0,0.0
72,72,89.66209642183557,0.0,89.97660847287256,69.45098110656465,0.0,0.0,0.0,0.0,0.0
73,73,86.78750308093898,0.0,87.76012825195988,69.83521273522334,0.0,0.0,0.0,0.0,0.0
74,74,87.25576880096101,0.0,88.04966559467262,70.83829392787523,0.0,0.0,0.0,0.0,0.0
75,75,87.01577941152956,0.0,88.23762583143827,67.3233355223713,0.0,0.0,0.0,0.0,0.0
76,76,87.2349298708571,0.0,88.67947744898284,69.54660542952368,0.0,0.0,0.0,0.0,0.0
77,77,86.66820874332645,0.0,88.5562606300306,70.66243494398157,0.0,0.0,0.0,0.0,0.0
78,78,85.48196225323073,0.0,87.91621365327578,70.8039323320152,0.0,0.0,0.0,0.0,0.0
79,79,84.10514927762219,0.0,87.94671771764713,70.98224048507818,0.0,0.0,0.0,0.0,0.0
80,80,82.22837863727642,0.0,87.51923036667532,72.07447548479789,0.0,0.0,0.0,0.0,0.0
81,81,85.39717860869665,0.0,89.49141273371197,71.39981114459788,0.0,0.0,0.0,0.0,0.0
82,82,81.65685031007914,0.0,89.26204318812985,71.54672425964803,0.0,0.0,0.0,0.0,0.0
83,83,82.91380621427531,0.0,88.173990857605,72.6005895451898,0.0,0.0,0.0,0.0,0.0
84,84,81.8616168061159,0.0,89.1852753685014,71.74223286983381,0.0,0.0,0.0,0.0,0.0
85,85,82.76598051973193,0.0,87.50268162383328,73.59403457036063,0.0,0.0,0.0,0.0,0.0
86,86,81.94012226901062,0.0,87.26756122601007,72.56430080500695,0.0,0.0,0.0,0.0,0.0
87,87,80.43944249606099,0.0,88.04780581339155,74.25340590640415,0.0,0.0,0.0,0.0,0.0
88,88,81.42395400403383,0.0,88.42313206680903,74.2494380854723,0.0,0.0,0.0,0.0,0.0
89,89,79.77003022091968,0.0,88.16082075374034,74.69793472740602,0.0,0.0,0.0,0.0,0.0
90,90,79.17555167892887,0.0,88.86275776285868,72.70843214288315,0.0,0.0,0.0,0.0,0.0
91,91,79.51949570148902,0.0,89.56682527182349,74.82462416144634,0.0,0.0,0.0,0.0,0.0
92,92,78.04473533216006,0.0,87.94389878573587,77.33235049934716,0.0,0.0,0.0,0.0,0.0
93,93,77.9851143666224,0.0,89.43822573720263,75.79010937785071,0.0,0.0,0.0,0.0,0.0
94,94,78.2545217901163,0.0,85.99679283355836,74.7613730740812,0.0,0.0,0.0,0.0,0.0
95,95,77.70179509073883,0.0,88.95489770899948,75.74510925063598,0.0,0.0,0.0,0.0,0.0
96,96,77.1796815308917,0.0,86.74923304792875,76.53807677295934,0.0,0.0,0.0,0.0,0.0
97,97,75.16277202611167,0.0,87.6627853741625,76.75381602524175,0.0,0.0,0.0,0.0,0.0
98,98,75.64980352701085,0.0,87.2733734412736,77.02492874675374,0.0,0.0,0.0,0.0,0.0
99,99,74.69154833440003,0.0,87.17063266563459,76.53253256346841,0.0,0.0,0.0,0.0,0.0
100,100,73.88270120259509,0.0,88.05044876293366,76.05066467745547,0.0,0.0,0.0,0.0,0.0
101,101,72.64149996746693,0.0,85.6834624026529,76.78487098462891,0.0,0.0,0.0,0.0,0.0
102,102,74.7256184466713,0.0,86.14740785127965,76.87522961091992,0.0,0.0,0.0,0.0,0.0
103,103,72.84780340185313,0.0,85.92213713052973,78.4094379008156,0.0,0.0,0.0,0.0,0.0
104,104,71.33958550928806,0.0,84.3627852646936,80.28210930736483,0.0,0.0,0.0,0.0,0.0
105,105,70.10105455907446,0.0,86.16108998191615,76.73369605571436,0.0,0.0,0.0,0.0,0.0
106,106,70.9940963650771,0.0,86.75717029928659,79.67179783991108,0.0,0.0,0.0,0.0,0.0
107,107,71.83096426967619,0.0,84.01940485647232,79.07563687352089,0.0,0.0,0.0,0.0,0.0
108,108,72.34321610206929,0.0,85.1085705154732,77.5687070737338,0.0,0.0,0.0,0.0,0.0
