,time,43,989,967,44,990,22,968
0,0,590.7363125,576.849875,0.0,0.0,0.0,0.0,0.0
1,1,592.2634375,576.5050625,0.0,0.0,0.0,0.0,0.0
2,2,593.8690625,576.244875,0.0,0.0,0.0,0.0,0.0
3,3,595.5524375,576.0695625,0.0,0.0,0.0,0.0,0.0
4,4,597.3129375,575.9790625,0.0,0.0,0.0,0.0,0.0
5,5,599.149875,575.9735625,0.0,0.0,0.0,0.0,0.0
6,6,601.0625625,576.053,0.0,0.0,0.0,0.0,0.0
7,7,603.0503125,576.2173125,0.0,0.0,0.0,0.0,0.0
8,8,605.1123125,576.4664375,0.0,0.0,0.0,0.0,0.0
9,9,607.2478125,576.80025,0.0,0.0,0.0,0.0,0.0
10,10,609.4560625,577.2186875,0.0,0.0,0.0,0.0,0.0
11,11,611.73625,577.7215,0.0,0.0,0.0,0.0,0.0
12,12,614.087625,578.3085,0.0,0.0,0.0,0.0,0.0
13,13,616.5093125,578.979375,0.0,0.0,0.0,0.0,0.0
14,14,619.0005,579.733875,0.0,0.0,0.0,0.0,0.0
15,15,621.560375,580.571625,0.0,0.0,0.0,0.0,0.0
16,16,624.1880625,581.492375,0.0,0.0,0.0,0.0,0.0
17,17,626.8826875,582.495625,0.0,0.0,0.0,0.0,0.0
18,18,629.6434375,583.581,0.0,0.0,0.0,0.0,0.0
19,19,632.469375,584.748,0.0,0.0,0.0,0.0,0.0
20,20,635.3596875,585.9961875,0.0,0.0,0.0,0.0,0.0
21,21,638.3135,587.325,0.0,0.0,0.0,0.0,0.0
22,22,641.329875,588.7339375,0.0,0.0,0.0,0.0,0.0
23,23,644.408,590.222375,0.0,0.0,0.0,0.0,0.0
24,24,647.546875,591.78975,0.0,0.0,0.0,0.0,0.0
25,25,650.74575,593.435375,809.47,0.0,0.0,0.0,0.0
26,26,654.0036875,595.1586875,804.9453125,0.0,0.0,0.0,0.0
27,27,657.3198125,596.959,800.4561875,0.0,0.0,0.0,0.0
28,28,660.6931875,598.8355625,796.00325,0.0,0.0,0.0,0.0
29,29,664.123,600.7876875,791.587,0.0,0.0,0.0,0.0
30,30,667.608375,602.814625,787.208125,0.0,0.0,0.0,0.0
31,31,671.1484375,604.915625,782.86725,0.0,0.0,0.0,0.0
32,32,674.7423125,607.0899375,778.565,0.0,0.0,0.0,0.0
33,33,678.389125,609.33675,774.3020625,0.0,0.0,0.0,0.0
34,34,682.088,611.65525,770.079125,0.0,0.0,0.0,0.0
35,35,685.8381875,614.0446875,765.89675,0.0,0.0,0.0,0.0
36,36,689.63875,616.5041875,761.7556875,0.0,0.0,0.0,0.0
37,37,693.488875,619.0329375,757.6565625,0.0,0.0,0.0,0.0
38,38,697.3878125,621.63,753.600125,0.0,0.0,0.0,0.0
39,39,701.334625,624.294625,749.5870625,0.0,0.0,0.0,0.0
40,40,705.3285625,627.0259375,745.618,0.0,0.0,0.0,0.0
41,41,709.368875,629.8230625,741.69375,0.0,0.0,0.0,0.0
42,42,713.4546875,632.6850625,737.815,0.0,0.0,0.0,0.0
43,43,717.58525,635.611125,733.9825,0.0,0.0,0.0,0.0
44,44,721.75975,638.600375,730.196875,0.0,0.0,0.0,0.0
45,45,725.9775,641.6518125,726.459,0.0,0.0,0.0,0.0
46,46,730.2376875,644.7646875,722.7695,0.0,0.0,0.0,0.0
47,47,734.539625,647.9380625,719.12925,0.0,0.0,0.0,0.0
48,48,738.8825625,651.1710625,715.538875,0.0,0.0,0.0,0.0
49,49,743.2656875,654.46275,711.99925,0.0,0.0,0.0,0.0
50,50,747.688375,657.8123125,708.5110625,0.0,0.0,0.0,0.0
51,51,752.1499375,661.2188125,705.0750625,0.0,0.0,0.0,0.0
52,52,756.649625,664.681375,701.6920625,0.0,0.0,0.0,0.0
53,53,761.18675,668.199125,698.362875,0.0,0.0,0.0,0.0
54,54,765.7606875,671.77125,695.08825,0.0,0.0,0.0,0.0
55,55,770.3708125,675.3968125,691.868875,0.0,0.0,0.0,0.0
56,56,775.016375,679.075,688.7056875,0.0,0.0,0.0,0.0
57,57,779.69675,682.804875,685.5993125,0.0,0.0,0.0,0.0
58,58,784.411375,686.58575,682.550625,0.0,0.0,0.0,0.0
59,59,789.159625,690.416625,679.5604375,0.0,0.0,0.0,0.0
60,60,793.9408125,694.29675,676.6294375,0.0,0.0,0.0,0.0
61,61,798.754375,698.22525,673.758375,0.0,0.0,0.0,0.0
