,time,30,52,658,636,681,8,659,53,31
0,0,817.1450625,808.2756875,564.270375,0.0,0.0,0.0,0.0,0.0,0.0
1,1,812.221125,809.237125,565.4255,0.0,0.0,0.0,0.0,0.0,0.0
2,2,807.32725,810.2570625,566.6645,0.0,0.0,0.0,0.0,0.0,0.0
3,3,802.464,811.335375,567.9868125,0.0,0.0,0.0,0.0,0.0,0.0
4,4,797.632,812.47175,569.3918125,0.0,0.0,0.0,0.0,0.0,0.0
5,5,792.83175,813.6660625,570.8789375,0.0,0.0,0.0,0.0,0.0,0.0
6,6,788.063875,814.9179375,572.4475625,0.0,0.0,0.0,0.0,0.0,0.0
7,7,783.329,816.2271875,574.0969375,0.0,0.0,0.0,0.0,0.0,0.0
8,8,778.6276875,817.5935,575.8264375,0.0,0.0,0.0,0.0,0.0,0.0
9,9,773.9605625,819.016625,577.6353125,0.0,0.0,0.0,0.0,0.0,0.0
10,10,769.32825,820.49625,579.5228125,0.0,0.0,0.0,0.0,0.0,0.0
11,11,764.731375,0.0,581.4881875,0.0,0.0,0.0,0.0,0.0,0.0
12,12,760.1706875,0.0,583.530625,0.0,0.0,0.0,0.0,0.0,0.0
13,13,755.6466875,0.0,585.649375,0.0,0.0,0.0,0.0,0.0,0.0
14,14,751.1601875,0.0,587.8435,0.0,0.0,0.0,0.0,0.0,0.0
15,15,746.7118125,0.0,590.11225,0.0,0.0,0.0,0.0,0.0,0.0
16,16,742.3021875,0.0,592.45475,0.0,0.0,0.0,0.0,0.0,0.0
17,17,737.932125,0.0,594.8700625,0.0,0.0,0.0,0.0,0.0,0.0
18,18,733.60225,0.0,597.357375,0.0,0.0,0.0,0.0,0.0,0.0
19,19,729.313375,0.0,599.9158125,819.7783125,0.0,0.0,0.0,0.0,0.0
20,20,725.066125,0.0,602.5443125,815.92725,0.0,0.0,0.0,0.0,0.0
21,21,720.8613125,0.0,605.242125,812.1176875,0.0,0.0,0.0,0.0,0.0
22,22,716.6996875,0.0,608.00825,808.350125,0.0,0.0,0.0,0.0,0.0
23,23,712.582,0.0,610.84175,804.6251875,0.0,0.0,0.0,0.0,0.0
24,24,708.5090625,0.0,613.74175,800.9435625,0.0,0.0,0.0,0.0,0.0
25,25,704.4815625,0.0,616.7071875,797.30575,0.0,0.0,0.0,0.0,0.0
26,26,700.5003125,0.0,619.73725,793.712375,0.0,0.0,0.0,0.0,0.0
27,27,696.5661875,0.0,622.8309375,790.1640625,0.0,0.0,0.0,0.0,0.0
28,28,692.6799375,0.0,625.98725,786.6614375,0.0,0.0,0.0,0.0,0.0
