,time,20,42,43,64,65,66,87,88,109,110,132,155,424,446,469,491,513,514,536,558,559,580,581,603,625,626,648,1528,1550,1551,1572,1573,492,447,21,133,604,537,44,111,582,1574,470,515,1529,89,22,649,178,425,560,156,627,671,67,1552,493,134,0,605,448,538,45,112,583,1575,471,516,179,650,90,672,23,561,1530,157,628,426,68,1553,135,606,494,1,539,449,46,113,584,673,1576,180,651,517,472,91,24,562,158,629,69,136,607,1554,2,495,540,450
0,0,3.8003549575805664,2.442746162414551,5.417352199554443,2.1228365898132324,5.9347357749938965,5.702704429626465,1.101956844329834,6.070459842681885,1.4815080165863037,0.4101986587047577,0.9186001420021057,0.11377400904893875,5.8504252433776855,0.017897190526127815,5.439515113830566,6.08023738861084,0.4005318284034729,4.745490550994873,5.396756172180176,0.78453129529953,3.970938205718994,1.00017511844635,3.4025051593780518,2.1527957916259766,1.621512770652771,3.0913333892822266,2.5545380115509033,4.078646659851074,3.5278308391571045,4.881242752075195,2.964648485183716,4.661626815795898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3.784268379211426,2.4422128200531006,5.4167399406433105,2.123877763748169,5.94087553024292,5.703941345214844,1.1124342679977417,6.074232578277588,1.485196828842163,0.41636255383491516,0.9230124354362488,0.11782948672771454,5.854766368865967,0.021736638620495796,5.444994926452637,6.086619853973389,0.4031217396259308,4.750162124633789,5.416830539703369,0.784463107585907,3.9712839126586914,0.9987900853157043,3.397700786590576,2.1425483226776123,1.6169253587722778,3.0884084701538086,2.55019474029541,4.074050426483154,3.5233099460601807,4.87826681137085,2.9624452590942383,4.655742168426514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3.7682950496673584,2.441689968109131,5.41611909866333,2.1249098777770996,5.947165012359619,5.705187797546387,1.1228195428848267,6.078036785125732,1.4888575077056885,0.42253902554512024,0.9274095892906189,0.12189565598964691,5.85910701751709,0.025560421869158745,5.4504899978637695,6.092966079711914,0.40568798780441284,4.754880905151367,5.4370036125183105,0.784397304058075,3.971632957458496,0.9974189400672913,3.392803192138672,2.1323235034942627,1.6123652458190918,3.085463285446167,2.5458366870880127,4.069456577301025,3.5188143253326416,4.875273704528809,2.9602596759796143,4.64980936050415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3.7524421215057373,2.4411771297454834,5.41549015045166,2.1259326934814453,5.953608512878418,5.706442832946777,1.1331114768981934,6.08187198638916,1.4924901723861694,0.4287277162075043,0.9317914247512817,0.1259724199771881,5.863447666168213,0.02936854399740696,5.456000804901123,6.099276065826416,0.40823081135749817,4.759648323059082,5.4572601318359375,0.7843338251113892,3.9719855785369873,0.9960614442825317,3.3878097534179688,2.1221227645874023,1.607832431793213,3.0824975967407227,2.541463851928711,4.0648651123046875,3.514343738555908,4.872263431549072,2.9580914974212646,4.64382791519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,3.736715793609619,2.440674066543579,5.414853572845459,2.1269466876983643,5.960212230682373,5.707707405090332,1.143309473991394,6.0857391357421875,1.4960952997207642,0.43492820858955383,0.9361579418182373,0.13005971908569336,5.8677873611450195,0.03316100314259529,5.461527347564697,6.105549335479736,0.4107505679130554,4.764464378356934,5.477583408355713,0.7842726707458496,3.972341537475586,0.9947173595428467,3.3827178478240967,2.1119484901428223,1.603326678276062,3.0795114040374756,2.537076234817505,4.060276508331299,3.5098986625671387,4.869235515594482,2.9559407234191895,4.637798309326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,3.7211227416992188,2.440180540084839,5.414207935333252,2.1279518604278564,5.966980457305908,5.708981037139893,1.1534125804901123,6.089638710021973,1.4996728897094727,0.4411400556564331,0.940509021282196,0.1341574639081955,5.87212610244751,0.03693779557943344,5.467068195343018,6.111786365509033,0.4132475256919861,4.76932954788208,5.497957229614258,0.784213662147522,3.97270131111145,0.9933865666389465,3.3775250911712646,2.101802349090576,1.5988481044769287,3.0765044689178467,2.5326738357543945,4.055690765380859,3.5054783821105957,4.866189956665039,2.9538071155548096,4.631719589233398,4.665006160736084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,3.7056684494018555,2.4396963119506836,5.413553714752197,2.128948450088501,5.9739203453063965,5.710263729095459,1.16342031955719,6.093570232391357,1.503223180770874,0.44736286997795105,0.944844663143158,0.13826557993888855,5.876464366912842,0.04069893807172775,5.472623825073242,6.11798620223999,0.41572198271751404,4.77424430847168,5.518364906311035,0.7841567993164062,3.97306489944458,0.992068886756897,3.3722283840179443,2.091686725616455,1.5943965911865234,3.073476552963257,2.528257131576538,4.051107883453369,3.5010833740234375,4.8631272315979,2.951690673828125,4.625592231750488,4.667330741882324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,3.6903584003448486,2.439221143722534,5.412890911102295,2.129936456680298,5.98103666305542,5.711556434631348,1.1733319759368896,6.0975341796875,1.506746530532837,0.45359620451927185,0.9491647481918335,0.14238396286964417,5.880801200866699,0.04444442316889763,5.478194236755371,6.124149322509766,0.41817420721054077,4.779209613800049,5.538790225982666,0.7841020822525024,3.9734320640563965,0.9907640814781189,3.3668251037597656,2.0816032886505127,1.5899720191955566,3.070427656173706,2.5238256454467773,4.0465288162231445,3.496713399887085,4.86004638671875,2.9495906829833984,4.619415760040283,4.6696696281433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,3.6751978397369385,2.4387547969818115,5.412219524383545,2.130915880203247,5.988336086273193,5.7128586769104,1.1831470727920532,6.101531505584717,1.5102431774139404,0.4598396420478821,0.9534692168235779,0.14651253819465637,5.885136604309082,0.04817426949739456,5.483778476715088,6.130275249481201,0.42060449719429016,4.784225940704346,5.559215545654297,0.7840493321418762,3.9738032817840576,0.9894720315933228,3.3613121509552,2.071553945541382,1.5855742692947388,3.0673575401306152,2.5193800926208496,4.041953086853027,3.492368221282959,4.856947898864746,2.947507381439209,4.613190650939941,4.672023773193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
